title,content,label,id
"Trong ngôi nhà xập xệ, người mẹ già liên tục khóc thương con trai Nguyễn Đăng Khuê, là nhân viên bán vé xe buýt bị tông t.ử v.o.n.g khi đi bộ sang đường. Hiện, người gây tai nạn đã bỏ trốn.","
    #Ci",1,2131
"2 tân PGĐ Công an tỉnh Phú Thọ, 1 người là Trưởng phòng CSKT, 1 người từng làm Trưởng phòng ANKT (Trước khi được bổ nhiệm giữ chức Trưởng Công an huyện Hạ Hòa). Cả 2 đều được đánh giá là tuổi trẻ tài cao, góp mặt vào hàng loạt các chuyên án lớn. Hy vọng, 2 anh giữ vị trí này sẽ như ""quả đấm thép"" đối với tội phạm...","
",1,2279
"Nhìn rộng ra thế giới thì ở các nước cũng chưa thấy nước nào áp dụng biện pháp cắt điện, nước để cưỡng chế thi hành quyết định xử phạt hành chính",,1,3509
"2 hãng hàng không của Mỹ là Delta Airlines và United Airlines đã yêu cầu được nối lại các chuyến bay tới Trung Quốc trong tháng 6 này nhưng không được Bắc Kinh chấp thuận, trong khi Mỹ vẫn cho phép các máy bay của Trung Quốc tiếp tục thực hiện chuyến bay tới Mỹ trong thời điểm dịch Covid-19 bùng phát mạnh.","
Mỹ quyết định đình chỉ hết chuyến bay TQ luôn.

",1,1180
"**Văn bản đây rồi, kg còn nghi ngờ gì nữa. Quận 1 Tạm rời xa Rạp Chiếu Phim, massage, karaoke, bar, beerclub, vũ trường đến khi hết dịch vậy😕**",,1,207
Hơn nhau ở cái ý thức!,    ,1,3071
"Sau thời gian dài ế ẩm, thậm chí phải đổ bỏ vì ảnh hưởng của dịch bệnh Covid-19, nay các loại hoa chủ lực của TP Đà Lạt (Lâm Đồng) đã có dấu hiệu phục hồi trở lại.",,1,3837
"Sở Y tế tỉnh Quảng Nam muốn trả lại máy xét nghiệm Covid-19 có giá 7,23 tỷ đồng, còn phía bán lại đề nghị hạ giá xuống còn 4,8 tỷ đồng.",,1,3275
GIAO LƯU TRỰC TUYẾN] Những gương mặt trẻ tiêu biểu 2019,"
Vào lúc 14 giờ 30 ngày 02.3, Báo Thanh Niên tổ chức chương trình giao lưu trực tuyến những gương mặt trẻ Việt Nam tiêu biểu năm 2019. Chương trình được phát trưc tiếp tại địa chỉ <URL>, <URL> và YouTube Thanh Niên.

    #GươngMặtTrẻTiêuBiểu2019 #NghệsĩVõMinhLâm",1,3255
"Bất động sản được coi là đòn bẩy tạo sức bật cho nền kinh tế, nhưng ách tắc thủ tục hành chính và quy định trong Luật Đất đai hiện nay còn bất cập.",,1,3770
